country,director,genre,imdb_rating,imdb_url,title,url,year
США,Норман Таурог,,6.3,https://www.imdb.com/title/tt0022397/,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B8%D0%BF%D0%BF%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),1931
США,Джеймс Уэйл,,7.4,https://www.imdb.com/title/tt0028249/,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%B2%D1%83%D1%87%D0%B8%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)",1936
СССР,,,4.7,https://www.imdb.com/title/tt0234153/,,"https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1935)",1935
США,Фрэнк Таттл,,7.1,https://www.imdb.com/title/tt0020968/,,https://ru.wikipedia.org/wiki/%D0%95%D1%91_%D0%B1%D1%80%D0%B0%D1%87%D0%BD%D0%B0%D1%8F_%D0%BD%D0%BE%D1%87%D1%8C,1930
США,"Майкл Кёртис, [, 1, ]",,6.6,https://www.imdb.com/title/tt0026184/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D0%BB%D1%8E%D0%B1%D0%BE%D0%BF%D1%8B%D1%82%D0%BD%D0%BE%D0%B9_%D0%BD%D0%BE%D0%B2%D0%BE%D0%B1%D1%80%D0%B0%D1%87%D0%BD%D0%BE%D0%B9,1935
США,Алан Крослэнд,,6.9,https://www.imdb.com/title/tt0024958/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D0%B2%D0%BE%D1%8E%D1%89%D0%B5%D0%B9_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B5,1934
США,Роулэнд В. Ли,,6.2,https://www.imdb.com/title/tt0033076/,,https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BD_%D0%9C%D0%BE%D0%BD%D1%82%D0%B5-%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE,1940
США,Арчи Майо,,6.5,https://www.imdb.com/title/tt0026185/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%BE_%D1%81%D1%87%D0%B0%D1%81%D1%82%D0%BB%D0%B8%D0%B2%D1%8B%D1%85_%D0%BD%D0%BE%D0%B6%D0%BA%D0%B0%D1%85,1935
СССР,Григорий Мелик-Авакян,,,,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BE%D1%87%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1954)",1954
Российская империя,Владимир Гарлицкий,,,,,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D1%87%D1%91%D1%80%D0%BD%D1%8B%D1%85_%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B5%D0%B9,1916
